gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	B cells Memory	CAFs MSC iCAF-like s1	CAFs MSC iCAF-like s2	CAFs myCAF like s4	CAFs myCAF like s5	Cancer Basal SC_0	Cancer Basal SC_1	Cancer Basal SC_2	Cancer Cycling_0	Cancer Cycling_1	Cancer Cycling_2	Cancer Her2 SC_0	Cancer Her2 SC_1	Cancer Her2 SC_2	Cancer LumA SC_0	Cancer LumA SC_1	Cancer LumA SC_2	Cancer LumB SC_1	Cancer LumB SC_2	Cycling PVL	Cycling_Myeloid	Endothelial ACKR1	Endothelial CXCL12	Endothelial Lymphatic LYVE1	Endothelial RGS5	G0_arrested	Luminal Progenitors_0	Luminal Progenitors_1	Luminal Progenitors_2	Mature Luminal_0	Mature Luminal_1	Mature Luminal_2	Myeloid_c0_DC_LAMP3	Myeloid_c10_Macrophage_1_EGR1	Myeloid_c11_cDC2_CD1C	Myeloid_c12_Monocyte_1_IL1B	Myeloid_c1_LAM1_FABP5	Myeloid_c2_LAM2_APOE	Myeloid_c3_cDC1_CLEC9A	Myeloid_c4_DCs_pDC_IRF7	Myeloid_c5_Macrophage_3_SIGLEC1	Myeloid_c8_Monocyte_2_S100A9	Myeloid_c9_Macrophage_2_CXCL10	Myoepithelial_0	Myoepithelial_2	PVL Differentiated s3	PVL Immature s1	PVL_Immature s2	Plasmablasts	T_cells_c11_MKI67	T_cells_c2_CD4+_T-regs_FOXP3	T_cells_c5_CD8+_GZMK	T_cells_c6_IFIT1
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0792FFF91	GLS	0.025	0.007	0.0	0.143	0.052	0.028	0.01	0.018	0.0	0.006	0.012	0.071	0.021	0.043	0.0	0.001	0.0	0.006	0.0	0.0	0.143	0.0	0.0	0.0	0.003	0.004	0.014	0.0	0.267	0.0	0.041	0.0	0.0	0.012	0.0	0.0	0.034	0.004	0.0	0.0	0.0	0.0	0.005	0.005	0.333	0.0	0.0	0.077	0.011	0.0	0.0	0.001	0.018
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CC0BF385067	GLS	0.025	0.007	0.0	0.143	0.052	0.028	0.01	0.018	0.0	0.006	0.012	0.071	0.021	0.043	0.0	0.001	0.0	0.006	0.0	0.0	0.143	0.0	0.0	0.0	0.003	0.004	0.014	0.0	0.267	0.0	0.041	0.0	0.0	0.012	0.0	0.0	0.034	0.004	0.0	0.0	0.0	0.0	0.005	0.005	0.333	0.0	0.0	0.077	0.011	0.0	0.0	0.001	0.018
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CC0DB5AB2C4	GLS	0.025	0.007	0.0	0.143	0.052	0.028	0.01	0.018	0.0	0.006	0.012	0.071	0.021	0.043	0.0	0.001	0.0	0.006	0.0	0.0	0.143	0.0	0.0	0.0	0.003	0.004	0.014	0.0	0.267	0.0	0.041	0.0	0.0	0.012	0.0	0.0	0.034	0.004	0.0	0.0	0.0	0.0	0.005	0.005	0.333	0.0	0.0	0.077	0.011	0.0	0.0	0.001	0.018
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0827BB954	GLS	0.025	0.007	0.0	0.143	0.052	0.028	0.01	0.018	0.0	0.006	0.012	0.071	0.021	0.043	0.0	0.001	0.0	0.006	0.0	0.0	0.143	0.0	0.0	0.0	0.003	0.004	0.014	0.0	0.267	0.0	0.041	0.0	0.0	0.012	0.0	0.0	0.034	0.004	0.0	0.0	0.0	0.0	0.005	0.005	0.333	0.0	0.0	0.077	0.011	0.0	0.0	0.001	0.018
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CC0C8B25F6D	GLS	0.025	0.007	0.0	0.143	0.052	0.028	0.01	0.018	0.0	0.006	0.012	0.071	0.021	0.043	0.0	0.001	0.0	0.006	0.0	0.0	0.143	0.0	0.0	0.0	0.003	0.004	0.014	0.0	0.267	0.0	0.041	0.0	0.0	0.012	0.0	0.0	0.034	0.004	0.0	0.0	0.0	0.0	0.005	0.005	0.333	0.0	0.0	0.077	0.011	0.0	0.0	0.001	0.018
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CC0E5CBF38E	GLS	0.025	0.007	0.0	0.143	0.052	0.028	0.01	0.018	0.0	0.006	0.012	0.071	0.021	0.043	0.0	0.001	0.0	0.006	0.0	0.0	0.143	0.0	0.0	0.0	0.003	0.004	0.014	0.0	0.267	0.0	0.041	0.0	0.0	0.012	0.0	0.0	0.034	0.004	0.0	0.0	0.0	0.0	0.005	0.005	0.333	0.0	0.0	0.077	0.011	0.0	0.0	0.001	0.018
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CC06FC18E3A	GLS	0.025	0.007	0.0	0.143	0.052	0.028	0.01	0.018	0.0	0.006	0.012	0.071	0.021	0.043	0.0	0.001	0.0	0.006	0.0	0.0	0.143	0.0	0.0	0.0	0.003	0.004	0.014	0.0	0.267	0.0	0.041	0.0	0.0	0.012	0.0	0.0	0.034	0.004	0.0	0.0	0.0	0.0	0.005	0.005	0.333	0.0	0.0	0.077	0.011	0.0	0.0	0.001	0.018
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CC0664821F8	GLS	0.025	0.007	0.0	0.143	0.052	0.028	0.01	0.018	0.0	0.006	0.012	0.071	0.021	0.043	0.0	0.001	0.0	0.006	0.0	0.0	0.143	0.0	0.0	0.0	0.003	0.004	0.014	0.0	0.267	0.0	0.041	0.0	0.0	0.012	0.0	0.0	0.034	0.004	0.0	0.0	0.0	0.0	0.005	0.005	0.333	0.0	0.0	0.077	0.011	0.0	0.0	0.001	0.018
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CC002EFE61E	GLS	0.025	0.007	0.0	0.143	0.052	0.028	0.01	0.018	0.0	0.006	0.012	0.071	0.021	0.043	0.0	0.001	0.0	0.006	0.0	0.0	0.143	0.0	0.0	0.0	0.003	0.004	0.014	0.0	0.267	0.0	0.041	0.0	0.0	0.012	0.0	0.0	0.034	0.004	0.0	0.0	0.0	0.0	0.005	0.005	0.333	0.0	0.0	0.077	0.011	0.0	0.0	0.001	0.018
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0CD4875F8	GLS	0.025	0.007	0.0	0.143	0.052	0.028	0.01	0.018	0.0	0.006	0.012	0.071	0.021	0.043	0.0	0.001	0.0	0.006	0.0	0.0	0.143	0.0	0.0	0.0	0.003	0.004	0.014	0.0	0.267	0.0	0.041	0.0	0.0	0.012	0.0	0.0	0.034	0.004	0.0	0.0	0.0	0.0	0.005	0.005	0.333	0.0	0.0	0.077	0.011	0.0	0.0	0.001	0.018
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS07AF8702D	GLS	0.025	0.007	0.0	0.143	0.052	0.028	0.01	0.018	0.0	0.006	0.012	0.071	0.021	0.043	0.0	0.001	0.0	0.006	0.0	0.0	0.143	0.0	0.0	0.0	0.003	0.004	0.014	0.0	0.267	0.0	0.041	0.0	0.0	0.012	0.0	0.0	0.034	0.004	0.0	0.0	0.0	0.0	0.005	0.005	0.333	0.0	0.0	0.077	0.011	0.0	0.0	0.001	0.018
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS08910752E	GLS	0.025	0.007	0.0	0.143	0.052	0.028	0.01	0.018	0.0	0.006	0.012	0.071	0.021	0.043	0.0	0.001	0.0	0.006	0.0	0.0	0.143	0.0	0.0	0.0	0.003	0.004	0.014	0.0	0.267	0.0	0.041	0.0	0.0	0.012	0.0	0.0	0.034	0.004	0.0	0.0	0.0	0.0	0.005	0.005	0.333	0.0	0.0	0.077	0.011	0.0	0.0	0.001	0.018
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS033CD7688	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0785280EB	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS03DC69BFC	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0132B4C1D	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0E5063BA7	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0E7F3E3CE	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0A0633E77	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC02AA64371	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC0D9EE71E7	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC095C752D3	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC02CD61933	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CC054692E80	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0CA04CA30	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0EF654316	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A7	CPI-CS0279E4E92	GLS	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS0D893EB03	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS0921FDCC0	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS0C53F30BC	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS07D0E4897	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC052F5C918	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC0EAD8AFBF	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS044A80E08	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC0B7463256	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC0699D36D3	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC0CE99AC11	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC05708A400	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CC037A4383F	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS099892F99	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS08648BDFD	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS_and_SLC1A1	CPI-CS0BEF05FE2	SLC1A1	0.038	0.021	0.0	0.286	0.068	0.028	0.008	0.016	0.026	0.022	0.021	0.071	0.0	0.018	0.0	0.117	0.0	0.093	0.308	0.0	0.286	0.056	0.03	0.0	0.037	0.06	0.1	0.043	0.333	0.0	0.27	1.0	0.167	0.048	0.091	0.0	0.041	0.057	0.0	0.0	0.0	0.0	0.016	0.149	0.5	0.04	0.0	0.077	0.039	0.0	0.0	0.035	0.035
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS0E5DBD27E	SLC1A1	0.025	0.008	0.0	0.0	0.012	0.028	0.002	0.016	0.0	0.011	0.013	0.0	0.0	0.003	0.0	0.056	0.0	0.037	0.077	0.0	0.0	0.012	0.015	0.0	0.01	0.027	0.024	0.014	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.005	0.045	0.0	0.01	0.0	0.019	0.006	0.0	0.0	0.013	0.026
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS0899E9304	SLC1A1	0.025	0.008	0.0	0.0	0.012	0.028	0.002	0.016	0.0	0.011	0.013	0.0	0.0	0.003	0.0	0.056	0.0	0.037	0.077	0.0	0.0	0.012	0.015	0.0	0.01	0.027	0.024	0.014	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.005	0.045	0.0	0.01	0.0	0.019	0.006	0.0	0.0	0.013	0.026
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS06451E34A	SLC1A1	0.025	0.008	0.0	0.0	0.012	0.028	0.002	0.016	0.0	0.011	0.013	0.0	0.0	0.003	0.0	0.056	0.0	0.037	0.077	0.0	0.0	0.012	0.015	0.0	0.01	0.027	0.024	0.014	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.005	0.045	0.0	0.01	0.0	0.019	0.006	0.0	0.0	0.013	0.026
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CS048A34709	SLC1A1	0.025	0.008	0.0	0.0	0.012	0.028	0.002	0.016	0.0	0.011	0.013	0.0	0.0	0.003	0.0	0.056	0.0	0.037	0.077	0.0	0.0	0.012	0.015	0.0	0.01	0.027	0.024	0.014	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.005	0.045	0.0	0.01	0.0	0.019	0.006	0.0	0.0	0.013	0.026
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CC05A802EBC	SLC1A1	0.025	0.008	0.0	0.0	0.012	0.028	0.002	0.016	0.0	0.011	0.013	0.0	0.0	0.003	0.0	0.056	0.0	0.037	0.077	0.0	0.0	0.012	0.015	0.0	0.01	0.027	0.024	0.014	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.005	0.045	0.0	0.01	0.0	0.019	0.006	0.0	0.0	0.013	0.026
SLC1A1	P43005	True	EAA3_HUMAN	Glutamate_byGLS2_and_SLC1A1	CPI-CC086C2B918	SLC1A1	0.025	0.008	0.0	0.0	0.012	0.028	0.002	0.016	0.0	0.011	0.013	0.0	0.0	0.003	0.0	0.056	0.0	0.037	0.077	0.0	0.0	0.012	0.015	0.0	0.01	0.027	0.024	0.014	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.005	0.045	0.0	0.01	0.0	0.019	0.006	0.0	0.0	0.013	0.026
