gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Bcell	CAF	CD4.T	EC	Exhausted_CD8_T_cell	Fast_cycling	Fib	G0_arrested	Mac	Mast	Peri	Plas.B	Slow_cycling	TAM	Treg	cDC	pDC
C5	P01031	False	CO5_HUMAN		CPI-SS00581282E	C5	0.01	0.013	0.001	0.008	0.001	0.04	0.012	0.009	0.006	0.0	0.025	0.004	0.016	0.013	0.005	0.011	0.005
CRH	P06850	False	CRF_HUMAN		CPI-SS06B1216BE	CRH	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UCN	P55089	False	UCN1_HUMAN		CPI-SS0A748917D	UCN	0.012	0.004	0.008	0.009	0.002	0.019	0.009	0.011	0.01	0.0	0.007	0.004	0.033	0.008	0.005	0.005	0.0
UCN2	Q96RP3	False	UCN2_HUMAN		CPI-SS058394CAD	UCN2	0.0	0.003	0.0	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.002	0.0	0.001	0.0	0.001	0.001	0.0
CRH	P06850	False	CRF_HUMAN		CPI-SS0A05319F5	CRH	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UCN	P55089	False	UCN1_HUMAN		CPI-SS0E654708F	UCN	0.012	0.004	0.008	0.009	0.002	0.019	0.009	0.011	0.01	0.0	0.007	0.004	0.033	0.008	0.005	0.005	0.0
UCN2	Q96RP3	False	UCN2_HUMAN		CPI-SS0EDEEE57E	UCN2	0.0	0.003	0.0	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.002	0.0	0.001	0.0	0.001	0.001	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS0AB1F04A0	CSF1	0.026	0.222	0.086	0.103	0.262	0.061	0.338	0.058	0.126	0.452	0.205	0.019	0.037	0.053	0.103	0.033	0.016
IL34	Q6ZMJ4	False	IL34_HUMAN		CPI-SS015162AFC	IL34	0.001	0.061	0.0	0.039	0.0	0.158	0.126	0.126	0.001	0.0	0.099	0.003	0.086	0.001	0.001	0.003	0.003
CSF2	P04141	False	CSF2_HUMAN		CPI-SC0DAAF158F	CSF2	0.0	0.0	0.028	0.0	0.002	0.0	0.003	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.034	0.0	0.0
CSF3	P09919	False	CSF3_HUMAN		CPI-SS08376F0E6	CSF3	0.0	0.004	0.0	0.063	0.0	0.0	0.015	0.006	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
DHH	O43323	False	DHH_HUMAN		CPI-SC006556DF8	DHH	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHH	Q15465	False	SHH_HUMAN		CPI-SC006170BDC	SHH	0.0	0.001	0.0	0.0	0.0	0.006	0.0	0.001	0.001	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.002
DHH	O43323	False	DHH_HUMAN		CPI-SC0ABE55781	DHH	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHH	Q15465	False	SHH_HUMAN		CPI-SC08B0B5F27	SHH	0.0	0.001	0.0	0.0	0.0	0.006	0.0	0.001	0.001	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.002
DHH	O43323	False	DHH_HUMAN		CPI-SC03021510C	DHH	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHH	Q15465	False	SHH_HUMAN		CPI-SC07F2D6624	SHH	0.0	0.001	0.0	0.0	0.0	0.006	0.0	0.001	0.001	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.002
DHH	O43323	False	DHH_HUMAN		CPI-SS07C846DEE	DHH	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHH	Q15465	False	SHH_HUMAN		CPI-SS0F7A89A4F	SHH	0.0	0.001	0.0	0.0	0.0	0.006	0.0	0.001	0.001	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.002
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.024	0.011	0.005	0.704	0.004	0.86	0.022	0.226	0.036	0.0	0.041	0.018	0.423	0.017	0.006	0.031	0.012
EDN2	P20800	False	EDN2_HUMAN		CPI-SS056AA08CF	EDN2	0.004	0.007	0.002	0.008	0.0	0.607	0.006	0.142	0.003	0.0	0.005	0.013	0.304	0.009	0.004	0.003	0.0
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.001	0.002	0.0	0.002	0.001	0.024	0.003	0.05	0.001	0.0	0.0	0.0	0.024	0.002	0.001	0.001	0.0
EDN1	P05305	False	EDN1_HUMAN		CPI-SS09B92F236	EDN1	0.024	0.011	0.005	0.704	0.004	0.86	0.022	0.226	0.036	0.0	0.041	0.018	0.423	0.017	0.006	0.031	0.012
EDN2	P20800	False	EDN2_HUMAN		CPI-SS0CA5B3B8E	EDN2	0.004	0.007	0.002	0.008	0.0	0.607	0.006	0.142	0.003	0.0	0.005	0.013	0.304	0.009	0.004	0.003	0.0
EDN3	P14138	False	EDN3_HUMAN		CPI-SS0696491A3	EDN3	0.001	0.002	0.0	0.002	0.001	0.024	0.003	0.05	0.001	0.0	0.0	0.0	0.024	0.002	0.001	0.001	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0FF49C823	EFNA1	0.107	0.063	0.056	0.826	0.006	1.589	0.081	0.772	0.046	0.0	0.086	0.084	1.545	0.047	0.028	0.031	0.01
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0B34CBA4B	EFNA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS0222DF7B4	EFNA3	0.013	0.015	0.004	0.013	0.002	0.372	0.019	0.079	0.015	0.0	0.011	0.022	0.308	0.012	0.006	0.009	0.002
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS05BB5902B	EFNA4	0.063	0.083	0.026	0.056	0.02	0.69	0.091	0.17	0.034	0.048	0.025	0.052	0.47	0.04	0.039	0.032	0.031
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS04E33D0FB	EFNA5	0.008	0.033	0.009	0.049	0.006	0.242	0.173	0.257	0.018	0.024	0.002	0.011	0.208	0.005	0.005	0.007	0.005
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS046F6F0C1	EFNA1	0.107	0.063	0.056	0.826	0.006	1.589	0.081	0.772	0.046	0.0	0.086	0.084	1.545	0.047	0.028	0.031	0.01
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS08A54963F	EFNA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS0CBCBBA83	EFNA3	0.013	0.015	0.004	0.013	0.002	0.372	0.019	0.079	0.015	0.0	0.011	0.022	0.308	0.012	0.006	0.009	0.002
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0475BE8ED	EFNA4	0.063	0.083	0.026	0.056	0.02	0.69	0.091	0.17	0.034	0.048	0.025	0.052	0.47	0.04	0.039	0.032	0.031
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09587DA63	EFNA5	0.008	0.033	0.009	0.049	0.006	0.242	0.173	0.257	0.018	0.024	0.002	0.011	0.208	0.005	0.005	0.007	0.005
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS0087A3F67	EFNB1	0.009	0.081	0.012	0.363	0.004	0.116	0.1	0.037	0.041	0.071	0.059	0.004	0.042	0.051	0.005	0.027	0.019
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS09CA492BA	EFNA1	0.107	0.063	0.056	0.826	0.006	1.589	0.081	0.772	0.046	0.0	0.086	0.084	1.545	0.047	0.028	0.031	0.01
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0C875BA24	EFNA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS0EF309375	EFNA3	0.013	0.015	0.004	0.013	0.002	0.372	0.019	0.079	0.015	0.0	0.011	0.022	0.308	0.012	0.006	0.009	0.002
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0D1D8FF06	EFNA4	0.063	0.083	0.026	0.056	0.02	0.69	0.091	0.17	0.034	0.048	0.025	0.052	0.47	0.04	0.039	0.032	0.031
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0C70ADA28	EFNA5	0.008	0.033	0.009	0.049	0.006	0.242	0.173	0.257	0.018	0.024	0.002	0.011	0.208	0.005	0.005	0.007	0.005
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	EFNA1	0.107	0.063	0.056	0.826	0.006	1.589	0.081	0.772	0.046	0.0	0.086	0.084	1.545	0.047	0.028	0.031	0.01
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0E63AB61E	EFNA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS05B4EB419	EFNA3	0.013	0.015	0.004	0.013	0.002	0.372	0.019	0.079	0.015	0.0	0.011	0.022	0.308	0.012	0.006	0.009	0.002
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	EFNA4	0.063	0.083	0.026	0.056	0.02	0.69	0.091	0.17	0.034	0.048	0.025	0.052	0.47	0.04	0.039	0.032	0.031
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.008	0.033	0.009	0.049	0.006	0.242	0.173	0.257	0.018	0.024	0.002	0.011	0.208	0.005	0.005	0.007	0.005
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS03446CB39	EFNB1	0.009	0.081	0.012	0.363	0.004	0.116	0.1	0.037	0.041	0.071	0.059	0.004	0.042	0.051	0.005	0.027	0.019
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.043	0.068	0.01	1.249	0.002	0.171	0.072	0.087	0.011	0.048	0.054	0.018	0.181	0.013	0.009	0.013	0.005
EFNB3	Q15768	False	EFNB3_HUMAN		CPI-SS084B1ED25	EFNB3	0.002	0.022	0.0	0.014	0.0	0.029	0.023	0.026	0.001	0.0	0.011	0.001	0.022	0.0	0.0	0.004	0.0
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0762B455F	EFNA1	0.107	0.063	0.056	0.826	0.006	1.589	0.081	0.772	0.046	0.0	0.086	0.084	1.545	0.047	0.028	0.031	0.01
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0D81D9F5E	EFNA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS079EF5D9C	EFNA3	0.013	0.015	0.004	0.013	0.002	0.372	0.019	0.079	0.015	0.0	0.011	0.022	0.308	0.012	0.006	0.009	0.002
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0008137B6	EFNA4	0.063	0.083	0.026	0.056	0.02	0.69	0.091	0.17	0.034	0.048	0.025	0.052	0.47	0.04	0.039	0.032	0.031
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.008	0.033	0.009	0.049	0.006	0.242	0.173	0.257	0.018	0.024	0.002	0.011	0.208	0.005	0.005	0.007	0.005
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS03E450F99	EFNA1	0.107	0.063	0.056	0.826	0.006	1.589	0.081	0.772	0.046	0.0	0.086	0.084	1.545	0.047	0.028	0.031	0.01
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS01DCC7684	EFNA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS0D5DBB634	EFNA3	0.013	0.015	0.004	0.013	0.002	0.372	0.019	0.079	0.015	0.0	0.011	0.022	0.308	0.012	0.006	0.009	0.002
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0F81DBF22	EFNA4	0.063	0.083	0.026	0.056	0.02	0.69	0.091	0.17	0.034	0.048	0.025	0.052	0.47	0.04	0.039	0.032	0.031
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS028688B7B	EFNA5	0.008	0.033	0.009	0.049	0.006	0.242	0.173	0.257	0.018	0.024	0.002	0.011	0.208	0.005	0.005	0.007	0.005
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS037E6BEDF	EFNA1	0.107	0.063	0.056	0.826	0.006	1.589	0.081	0.772	0.046	0.0	0.086	0.084	1.545	0.047	0.028	0.031	0.01
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0830C7910	EFNA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS0C8ED6F41	EFNA3	0.013	0.015	0.004	0.013	0.002	0.372	0.019	0.079	0.015	0.0	0.011	0.022	0.308	0.012	0.006	0.009	0.002
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0AA68C8E5	EFNA4	0.063	0.083	0.026	0.056	0.02	0.69	0.091	0.17	0.034	0.048	0.025	0.052	0.47	0.04	0.039	0.032	0.031
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0F6A01237	EFNA5	0.008	0.033	0.009	0.049	0.006	0.242	0.173	0.257	0.018	0.024	0.002	0.011	0.208	0.005	0.005	0.007	0.005
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS068ACD209	EFNA5	0.008	0.033	0.009	0.049	0.006	0.242	0.173	0.257	0.018	0.024	0.002	0.011	0.208	0.005	0.005	0.007	0.005
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS06E797E50	EFNB1	0.009	0.081	0.012	0.363	0.004	0.116	0.1	0.037	0.041	0.071	0.059	0.004	0.042	0.051	0.005	0.027	0.019
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0ECC9DF3E	EFNB2	0.043	0.068	0.01	1.249	0.002	0.171	0.072	0.087	0.011	0.048	0.054	0.018	0.181	0.013	0.009	0.013	0.005
EFNB3	Q15768	False	EFNB3_HUMAN		CPI-SS0ECCB4382	EFNB3	0.002	0.022	0.0	0.014	0.0	0.029	0.023	0.026	0.001	0.0	0.011	0.001	0.022	0.0	0.0	0.004	0.0
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS03C7D1520	EFNB1	0.009	0.081	0.012	0.363	0.004	0.116	0.1	0.037	0.041	0.071	0.059	0.004	0.042	0.051	0.005	0.027	0.019
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0BFD8E056	EFNB2	0.043	0.068	0.01	1.249	0.002	0.171	0.072	0.087	0.011	0.048	0.054	0.018	0.181	0.013	0.009	0.013	0.005
EFNB3	Q15768	False	EFNB3_HUMAN		CPI-SS0CE96B837	EFNB3	0.002	0.022	0.0	0.014	0.0	0.029	0.023	0.026	0.001	0.0	0.011	0.001	0.022	0.0	0.0	0.004	0.0
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS0C2003B74	EFNB1	0.009	0.081	0.012	0.363	0.004	0.116	0.1	0.037	0.041	0.071	0.059	0.004	0.042	0.051	0.005	0.027	0.019
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	EFNB2	0.043	0.068	0.01	1.249	0.002	0.171	0.072	0.087	0.011	0.048	0.054	0.018	0.181	0.013	0.009	0.013	0.005
EFNB3	Q15768	False	EFNB3_HUMAN		CPI-SS01BBAD475	EFNB3	0.002	0.022	0.0	0.014	0.0	0.029	0.023	0.026	0.001	0.0	0.011	0.001	0.022	0.0	0.0	0.004	0.0
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS09D9D6811	EFNB1	0.009	0.081	0.012	0.363	0.004	0.116	0.1	0.037	0.041	0.071	0.059	0.004	0.042	0.051	0.005	0.027	0.019
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS08D0F9109	EFNB2	0.043	0.068	0.01	1.249	0.002	0.171	0.072	0.087	0.011	0.048	0.054	0.018	0.181	0.013	0.009	0.013	0.005
EFNB3	Q15768	False	EFNB3_HUMAN		CPI-SS0F6AA700E	EFNB3	0.002	0.022	0.0	0.014	0.0	0.029	0.023	0.026	0.001	0.0	0.011	0.001	0.022	0.0	0.0	0.004	0.0
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS040D3C47C	EFNB1	0.009	0.081	0.012	0.363	0.004	0.116	0.1	0.037	0.041	0.071	0.059	0.004	0.042	0.051	0.005	0.027	0.019
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS05ABE6795	EFNB2	0.043	0.068	0.01	1.249	0.002	0.171	0.072	0.087	0.011	0.048	0.054	0.018	0.181	0.013	0.009	0.013	0.005
EFNB3	Q15768	False	EFNB3_HUMAN		CPI-SS0A39F4895	EFNB3	0.002	0.022	0.0	0.014	0.0	0.029	0.023	0.026	0.001	0.0	0.011	0.001	0.022	0.0	0.0	0.004	0.0
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	1.487	0.339	1.205	0.607	0.75	7.367	0.502	2.035	0.89	2.024	0.616	1.154	7.031	0.779	0.27	4.629	5.628
BTC	P35070	False	BTC_HUMAN		CPI-SS0CC966B71	BTC	0.0	0.002	0.001	0.003	0.0	0.031	0.0	0.031	0.001	0.0	0.018	0.001	0.029	0.0	0.0	0.0	0.0
EGF	P01133	False	EGF_HUMAN		CPI-SS09947DDD9	EGF	0.0	0.003	0.0	0.002	0.0	0.062	0.0	0.021	0.002	0.0	0.0	0.005	0.039	0.001	0.001	0.001	0.0
EPGN	Q6UW88	False	EPGN_HUMAN		CPI-SS060790CF0	EPGN	0.0	0.0	0.004	0.0	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.001	0.008	0.0	0.0	0.0	0.0
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	EREG	0.015	0.019	0.013	0.044	0.008	0.087	0.035	0.068	1.269	0.0	0.065	0.017	0.109	0.202	0.011	0.892	0.019
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS09B2ACA25	HBEGF	0.015	0.056	0.033	0.765	0.009	0.097	0.081	0.111	1.008	0.0	0.093	0.022	0.085	0.736	0.02	0.906	0.016
TGFA	P01135	False	TGFA_HUMAN		CPI-SS07E5C3060	TGFA	0.005	0.003	0.005	0.017	0.003	0.05	0.006	0.041	0.016	0.024	0.002	0.004	0.034	0.04	0.002	0.016	0.0
BTC	P35070	False	BTC_HUMAN		CPI-SS05A6C9EC5	BTC	0.0	0.002	0.001	0.003	0.0	0.031	0.0	0.031	0.001	0.0	0.018	0.001	0.029	0.0	0.0	0.0	0.0
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS02B906C26	NRG1	0.0	0.049	0.002	0.002	0.0	0.021	0.017	0.077	0.009	0.0	0.007	0.001	0.025	0.013	0.0	0.04	0.0
NRG2	O14511	False	NRG2_HUMAN		CPI-SS053613259	NRG2	0.003	0.003	0.0	0.006	0.001	0.011	0.007	0.026	0.003	0.0	0.0	0.002	0.019	0.003	0.001	0.001	0.002
BTC	P35070	False	BTC_HUMAN		CPI-SS0F0D7F25C	BTC	0.0	0.002	0.001	0.003	0.0	0.031	0.0	0.031	0.001	0.0	0.018	0.001	0.029	0.0	0.0	0.0	0.0
EREG	O14944	False	EREG_HUMAN		CPI-SS0FC42EC80	EREG	0.015	0.019	0.013	0.044	0.008	0.087	0.035	0.068	1.269	0.0	0.065	0.017	0.109	0.202	0.011	0.892	0.019
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS060B846D1	HBEGF	0.015	0.056	0.033	0.765	0.009	0.097	0.081	0.111	1.008	0.0	0.093	0.022	0.085	0.736	0.02	0.906	0.016
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	NRG1	0.0	0.049	0.002	0.002	0.0	0.021	0.017	0.077	0.009	0.0	0.007	0.001	0.025	0.013	0.0	0.04	0.0
NRG2	O14511	False	NRG2_HUMAN		CPI-SS0E063192D	NRG2	0.003	0.003	0.0	0.006	0.001	0.011	0.007	0.026	0.003	0.0	0.0	0.002	0.019	0.003	0.001	0.001	0.002
NRG3	P56975	False	NRG3_HUMAN		CPI-SS0D5E30C6C	NRG3	0.001	0.0	0.0	0.003	0.0	0.002	0.001	0.001	0.0	0.0	0.002	0.0	0.003	0.0	0.0	0.0	0.0
NRG4	Q8WWG1	False	NRG4_HUMAN		CPI-SS0627D0E22	NRG4	0.001	0.002	0.001	0.003	0.0	0.004	0.004	0.002	0.001	0.0	0.007	0.002	0.003	0.001	0.004	0.003	0.002
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS03E7FB333	HBEGF	0.015	0.056	0.033	0.765	0.009	0.097	0.081	0.111	1.008	0.0	0.093	0.022	0.085	0.736	0.02	0.906	0.016
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	FCER2	0.359	0.001	0.013	0.002	0.006	0.003	0.001	0.001	0.011	0.0	0.002	0.016	0.001	0.003	0.002	0.01	0.016
FCER2	P06734	False	FCER2_HUMAN		CPI-SS0D26FB68C	FCER2	0.359	0.001	0.013	0.002	0.006	0.003	0.001	0.001	0.011	0.0	0.002	0.016	0.001	0.003	0.002	0.01	0.016
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	FGF1	0.001	0.189	0.004	0.005	0.0	0.013	0.04	0.059	0.001	0.0	0.106	0.002	0.028	0.002	0.001	0.001	0.002
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	FGF10	0.004	0.027	0.0	0.0	0.0	0.018	0.075	0.006	0.001	0.0	0.002	0.0	0.007	0.0	0.001	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	FGF2	0.004	0.028	0.0	0.113	0.001	0.024	0.088	0.119	0.002	0.024	0.025	0.005	0.033	0.002	0.002	0.002	0.0
FGF22	Q9HCT0	False	FGF22_HUMAN		CPI-SS09D21167E	FGF22	0.004	0.005	0.007	0.002	0.003	0.018	0.007	0.011	0.002	0.0	0.005	0.005	0.024	0.003	0.004	0.003	0.007
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	FGF7	0.006	0.689	0.008	0.017	0.005	0.085	2.517	0.063	0.003	0.071	0.131	0.009	0.036	0.013	0.01	0.009	0.005
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	FGF1	0.001	0.189	0.004	0.005	0.0	0.013	0.04	0.059	0.001	0.0	0.106	0.002	0.028	0.002	0.001	0.001	0.002
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	FGF2	0.004	0.028	0.0	0.113	0.001	0.024	0.088	0.119	0.002	0.024	0.025	0.005	0.033	0.002	0.002	0.002	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS01333FFA6	FGF5	0.0	0.014	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.002
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS05632AB58	NCAM1	0.008	0.026	0.01	0.009	0.045	0.022	0.006	0.02	0.004	0.0	0.005	0.007	0.024	0.002	0.002	0.006	0.003
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	FGF1	0.001	0.189	0.004	0.005	0.0	0.013	0.04	0.059	0.001	0.0	0.106	0.002	0.028	0.002	0.001	0.001	0.002
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	FGF17	0.0	0.001	0.0	0.002	0.001	0.002	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.001	0.001	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	FGF2	0.004	0.028	0.0	0.113	0.001	0.024	0.088	0.119	0.002	0.024	0.025	0.005	0.033	0.002	0.002	0.002	0.0
FGF20	Q9NP95	False	FGF20_HUMAN		CPI-SS0696C2B28	FGF20	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.0
FGF8	P55075	False	FGF8_HUMAN		CPI-SS0CFABB69A	FGF8	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF9	P31371	False	FGF9_HUMAN		CPI-SS05D62446A	FGF9	0.003	0.003	0.005	0.0	0.001	0.018	0.028	0.004	0.001	0.0	0.0	0.001	0.006	0.001	0.001	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	FGF1	0.001	0.189	0.004	0.005	0.0	0.013	0.04	0.059	0.001	0.0	0.106	0.002	0.028	0.002	0.001	0.001	0.002
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	FGF2	0.004	0.028	0.0	0.113	0.001	0.024	0.088	0.119	0.002	0.024	0.025	0.005	0.033	0.002	0.002	0.002	0.0
SDC2	P34741	False	SDC2_HUMAN		CPI-SS001D9549D	SDC2	0.016	1.319	0.015	0.092	0.004	2.258	0.886	0.378	0.748	0.0	2.424	0.028	0.53	0.426	0.011	0.069	0.021
FGF19	O95750	False	FGF19_HUMAN		CPI-SC068641E32	FGF19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
FGF21	Q9NSA1	False	FGF21_HUMAN		CPI-SC0601E173E	FGF21	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
FGF23	Q9GZV9	False	FGF23_HUMAN		CPI-SC0F6764DA8	FGF23	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.001	0.0	0.0
FGL1	Q08830	False	FGL1_HUMAN		CPI-SS0B7D22073	FGL1	0.0	0.002	0.0	0.0	0.0	0.0	0.006	0.001	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS0C21302BC	NCAM1	0.008	0.026	0.01	0.009	0.045	0.022	0.006	0.02	0.004	0.0	0.005	0.007	0.024	0.002	0.002	0.006	0.003
FLRT1	Q9NZU1	False	FLRT1_HUMAN		CPI-SS0813792B7	FLRT1	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.002
FLRT2	O43155	False	FLRT2_HUMAN		CPI-SS008E98D3E	FLRT2	0.005	0.101	0.003	0.183	0.002	0.011	0.224	0.012	0.011	0.0	0.016	0.001	0.005	0.005	0.002	0.003	0.002
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS019D9440E	NRXN1	0.003	0.005	0.003	0.006	0.0	0.044	0.005	0.03	0.001	0.0	0.0	0.002	0.07	0.0	0.0	0.002	0.0
