id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	Bcell|Bcell	Bcell|CAF	Bcell|CD4.T	Bcell|EC	Bcell|Exhausted_CD8_T_cell	Bcell|Fast_cycling	Bcell|Fib	Bcell|G0_arrested	Bcell|Mac	Bcell|Mast	Bcell|Peri	Bcell|Plas.B	Bcell|Slow_cycling	Bcell|TAM	Bcell|Treg	Bcell|cDC	Bcell|pDC	CAF|Bcell	CAF|CAF	CAF|CD4.T	CAF|EC	CAF|Exhausted_CD8_T_cell	CAF|Fast_cycling	CAF|Fib	CAF|G0_arrested	CAF|Mac	CAF|Mast	CAF|Peri	CAF|Plas.B	CAF|Slow_cycling	CAF|TAM	CAF|Treg	CAF|cDC	CAF|pDC	CD4.T|Bcell	CD4.T|CAF	CD4.T|CD4.T	CD4.T|EC	CD4.T|Exhausted_CD8_T_cell	CD4.T|Fast_cycling	CD4.T|Fib	CD4.T|G0_arrested	CD4.T|Mac	CD4.T|Mast	CD4.T|Peri	CD4.T|Plas.B	CD4.T|Slow_cycling	CD4.T|TAM	CD4.T|Treg	CD4.T|cDC	CD4.T|pDC	EC|Bcell	EC|CAF	EC|CD4.T	EC|EC	EC|Exhausted_CD8_T_cell	EC|Fast_cycling	EC|Fib	EC|G0_arrested	EC|Mac	EC|Mast	EC|Peri	EC|Plas.B	EC|Slow_cycling	EC|TAM	EC|Treg	EC|cDC	EC|pDC	Exhausted_CD8_T_cell|Bcell	Exhausted_CD8_T_cell|CAF	Exhausted_CD8_T_cell|CD4.T	Exhausted_CD8_T_cell|EC	Exhausted_CD8_T_cell|Exhausted_CD8_T_cell	Exhausted_CD8_T_cell|Fast_cycling	Exhausted_CD8_T_cell|Fib	Exhausted_CD8_T_cell|G0_arrested	Exhausted_CD8_T_cell|Mac	Exhausted_CD8_T_cell|Mast	Exhausted_CD8_T_cell|Peri	Exhausted_CD8_T_cell|Plas.B	Exhausted_CD8_T_cell|Slow_cycling	Exhausted_CD8_T_cell|TAM	Exhausted_CD8_T_cell|Treg	Exhausted_CD8_T_cell|cDC	Exhausted_CD8_T_cell|pDC	Fast_cycling|Bcell	Fast_cycling|CAF	Fast_cycling|CD4.T	Fast_cycling|EC	Fast_cycling|Exhausted_CD8_T_cell	Fast_cycling|Fast_cycling	Fast_cycling|Fib	Fast_cycling|G0_arrested	Fast_cycling|Mac	Fast_cycling|Mast	Fast_cycling|Peri	Fast_cycling|Plas.B	Fast_cycling|Slow_cycling	Fast_cycling|TAM	Fast_cycling|Treg	Fast_cycling|cDC	Fast_cycling|pDC	Fib|Bcell	Fib|CAF	Fib|CD4.T	Fib|EC	Fib|Exhausted_CD8_T_cell	Fib|Fast_cycling	Fib|Fib	Fib|G0_arrested	Fib|Mac	Fib|Mast	Fib|Peri	Fib|Plas.B	Fib|Slow_cycling	Fib|TAM	Fib|Treg	Fib|cDC	Fib|pDC	G0_arrested|Bcell	G0_arrested|CAF	G0_arrested|CD4.T	G0_arrested|EC	G0_arrested|Exhausted_CD8_T_cell	G0_arrested|Fast_cycling	G0_arrested|Fib	G0_arrested|G0_arrested	G0_arrested|Mac	G0_arrested|Mast	G0_arrested|Peri	G0_arrested|Plas.B	G0_arrested|Slow_cycling	G0_arrested|TAM	G0_arrested|Treg	G0_arrested|cDC	G0_arrested|pDC	Mac|Bcell	Mac|CAF	Mac|CD4.T	Mac|EC	Mac|Exhausted_CD8_T_cell	Mac|Fast_cycling	Mac|Fib	Mac|G0_arrested	Mac|Mac	Mac|Mast	Mac|Peri	Mac|Plas.B	Mac|Slow_cycling	Mac|TAM	Mac|Treg	Mac|cDC	Mac|pDC	Mast|Bcell	Mast|CAF	Mast|CD4.T	Mast|EC	Mast|Exhausted_CD8_T_cell	Mast|Fast_cycling	Mast|Fib	Mast|G0_arrested	Mast|Mac	Mast|Mast	Mast|Peri	Mast|Plas.B	Mast|Slow_cycling	Mast|TAM	Mast|Treg	Mast|cDC	Mast|pDC	Peri|Bcell	Peri|CAF	Peri|CD4.T	Peri|EC	Peri|Exhausted_CD8_T_cell	Peri|Fast_cycling	Peri|Fib	Peri|G0_arrested	Peri|Mac	Peri|Mast	Peri|Peri	Peri|Plas.B	Peri|Slow_cycling	Peri|TAM	Peri|Treg	Peri|cDC	Peri|pDC	Plas.B|Bcell	Plas.B|CAF	Plas.B|CD4.T	Plas.B|EC	Plas.B|Exhausted_CD8_T_cell	Plas.B|Fast_cycling	Plas.B|Fib	Plas.B|G0_arrested	Plas.B|Mac	Plas.B|Mast	Plas.B|Peri	Plas.B|Plas.B	Plas.B|Slow_cycling	Plas.B|TAM	Plas.B|Treg	Plas.B|cDC	Plas.B|pDC	Slow_cycling|Bcell	Slow_cycling|CAF	Slow_cycling|CD4.T	Slow_cycling|EC	Slow_cycling|Exhausted_CD8_T_cell	Slow_cycling|Fast_cycling	Slow_cycling|Fib	Slow_cycling|G0_arrested	Slow_cycling|Mac	Slow_cycling|Mast	Slow_cycling|Peri	Slow_cycling|Plas.B	Slow_cycling|Slow_cycling	Slow_cycling|TAM	Slow_cycling|Treg	Slow_cycling|cDC	Slow_cycling|pDC	TAM|Bcell	TAM|CAF	TAM|CD4.T	TAM|EC	TAM|Exhausted_CD8_T_cell	TAM|Fast_cycling	TAM|Fib	TAM|G0_arrested	TAM|Mac	TAM|Mast	TAM|Peri	TAM|Plas.B	TAM|Slow_cycling	TAM|TAM	TAM|Treg	TAM|cDC	TAM|pDC	Treg|Bcell	Treg|CAF	Treg|CD4.T	Treg|EC	Treg|Exhausted_CD8_T_cell	Treg|Fast_cycling	Treg|Fib	Treg|G0_arrested	Treg|Mac	Treg|Mast	Treg|Peri	Treg|Plas.B	Treg|Slow_cycling	Treg|TAM	Treg|Treg	Treg|cDC	Treg|pDC	cDC|Bcell	cDC|CAF	cDC|CD4.T	cDC|EC	cDC|Exhausted_CD8_T_cell	cDC|Fast_cycling	cDC|Fib	cDC|G0_arrested	cDC|Mac	cDC|Mast	cDC|Peri	cDC|Plas.B	cDC|Slow_cycling	cDC|TAM	cDC|Treg	cDC|cDC	cDC|pDC	pDC|Bcell	pDC|CAF	pDC|CD4.T	pDC|EC	pDC|Exhausted_CD8_T_cell	pDC|Fast_cycling	pDC|Fib	pDC|G0_arrested	pDC|Mac	pDC|Mast	pDC|Peri	pDC|Plas.B	pDC|Slow_cycling	pDC|TAM	pDC|Treg	pDC|cDC	pDC|pDC
CPI-SC075489ADB	COL5A2_integrin_a11b1_complex	simple:P05997	complex:integrin_a11b1_complex	COL5A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.028																			4.441					4.194																													0.479					0.232																																														2.482					2.235																																																															1.813					1.565																																																																																																																
CPI-SC0A3722F1F	COL12A1_integrin_a11b1_complex	simple:Q99715	complex:integrin_a11b1_complex	COL12A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.028																			2.66					2.413																													0.458					0.211																																														1.125					0.878																																																															0.77					0.523																																																																																																																
CPI-SS0B6F0C894	DSG2_DSC3	simple:Q14126	simple:Q14574	DSG2	DSC3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Desmosome	0.028																							0.218		0.181																																																																		0.71		0.672																																0.393		0.355																																																																																			0.5		0.462																																																																													
CPI-SS0C4261737	GJC1_GJA1	simple:P36383	simple:P17302	GJC1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.028																																																					0.547		0.659			0.399	0.179																																																																																																																	0.822		0.934			0.674	0.454																																																																																																															
CPI-SS046F6F0C1	EFNA1_EPHA2	simple:P20827	simple:P29317	EFNA1	EPHA2	True	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.028																																																							0.486													0.51																					0.867													0.892																					0.459													0.483																																																																								0.845													0.87																																																																				
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.028																																																																																											1.914		1.161					1.761																											1.161							1.008																																																																														1.761		1.008					1.608																																																																								
CPI-SS03BC3A729	WNT7B_FRZB	simple:P56706	simple:Q92765	WNT7B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.028																																																																																							0.284					0.254	0.175			0.642																																																																																																														0.282					0.252	0.173			0.639																																																																										
CPI-SC0956F4A31	COL16A1_integrin_a2b1_complex	simple:Q07092	complex:integrin_a2b1_complex	COL16A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.028																					0.422		0.335		0.404					0.381																																																																												0.438		0.35		0.42					0.397																																																																																																																																																																														
CPI-SC044C2FDA4	COL27A1_integrin_a2b1_complex	simple:Q8IZC6	complex:integrin_a2b1_complex	COL27A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.028																					0.232		0.145		0.214					0.191																																																											0.243		0.156		0.225					0.202																																																																																																																																																																																															
CPI-SS085C6A191	SELPLG_SELE	simple:Q14242	simple:P16581	SELPLG	SELE	False	True	False	curated	False	Ligand-Receptor	Signaling by Selectin	0.028																																						0.729																																		0.792																																																																				0.731																																																			0.741																																		0.86																	0.758																	0.76																	0.969													
CPI-SS007954822	WNT5A_FRZB	simple:P41221	simple:Q92765	WNT5A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.028																			0.324					0.294	0.215			0.682																																																																																																																																																																																		0.278					0.248	0.169			0.636																																																																										
CPI-SS09587DA63	EFNA5_EPHA2	simple:P52803	simple:P29317	EFNA5	EPHA2	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.028																																																																																									0.194													0.218				0.16													0.184				0.201													0.225																																																																								0.177													0.201																																																																				
CPI-CC03F7FB36A	atRetinoicAcid_byALDH1A3_RAreceptor_RARA	complex:atRetinoicAcid_byALDH1A3	complex:RAreceptor_RARA			True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.028																							0.198	0.159	0.165					0.215																																																																														0.303	0.263	0.27					0.32																																																																																																																																																																														
CPI-SS0D168412F	FASLG_FAS	simple:P48023	simple:P25445	FASLG	FAS	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.028																																																																					0.186	0.183	0.167		0.158	0.186	0.228				0.215				0.231																																																																																																																																																																																																														
CPI-CC0564402E8	atRetinoicAcid_byALDH1A3_RAreceptor_RARA_RXRA	complex:atRetinoicAcid_byALDH1A3	complex:RAreceptor_RARA_RXRA			True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.028																							0.198	0.159	0.158					0.215																																																																														0.303	0.263	0.262					0.32																																																																																																																																																																														
CPI-SC0AD2341AF	COL1A1_integrin_a11b1_complex	simple:P02452	complex:integrin_a11b1_complex	COL1A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.028																			33.835					33.588																																																															0.406					0.159												19.685					19.438																																																															6.004					5.757																																																																																																																
CPI-SC0F36DD437	TGFB2_TGFbeta_receptor2	simple:P61812	complex:TGFbeta_receptor2	TGFB2		True	False	True	curated	False	Ligand-Receptor	Signaling by Transforming growth factor	0.028																																																																																							0.254					0.278			0.236	0.229																																																																																																														0.194					0.218			0.176	0.169																																																																										
CPI-SC039EE3D74	WNT5A_FZD6_LRP6	simple:P41221	complex:FZD6_LRP6	WNT5A		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.028																					0.281		0.234		0.177					0.192																																																																																																																																																																																		0.235		0.188		0.13					0.146																																																																								
CPI-SC0CDC669B3	OSM_LIFR	simple:P13725	complex:LIFR	OSM		True	False	True	curated	False	Ligand-Receptor	Signaling by Oncostatin-M precursor	0.028																																																																																																																																												0.53			0.321														0.424			0.216																																																																	0.49			0.282																															0.451			0.242																											
CPI-SS0F1E79A03	WNT5A_SFRP1	simple:P41221	simple:Q8N474	WNT5A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.028																					0.217		0.469	0.741	1.276					0.614																																																																																																																																																																																					0.695	1.23					0.568																																																																								
CPI-SC0F94B7D8F	COL8A2_integrin_a2b1_complex	simple:P25067	complex:integrin_a2b1_complex	COL8A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.028																					0.364		0.276		0.345					0.322																																																																												0.259		0.171		0.241					0.218																																																																																																																																																																														
CPI-SC0A916E0E2	COL9A2_integrin_a2b1_complex	simple:Q14055	complex:integrin_a2b1_complex	COL9A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.028																																																																																									0.293		0.206		0.275					0.252																																																											0.257		0.17		0.239					0.216																																																																																																																											
CPI-SC0DC10FB9C	WNT2_FZD6_LRP6	simple:P09544	complex:FZD6_LRP6	WNT2		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.028																					0.406		0.359		0.302					0.317																																																																												0.331		0.284		0.226					0.241																																																																																																																																																																														
CPI-SC017027176	WNT7B_FZD6_LRP6	simple:P56706	complex:FZD6_LRP6	WNT7B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.028																																																																																									0.241		0.194		0.137					0.152																																																																																																														0.239		0.192		0.134					0.149																																																																								
CPI-CC07CAD6A4A	atRetinoicAcid_byALDH1A3_RAreceptor_RXRA	complex:atRetinoicAcid_byALDH1A3	complex:RAreceptor_RXRA			True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.028																							0.252	0.199	0.158					0.233																																																																														0.357	0.303	0.262					0.338																																																																																																																																																																														
CPI-SS001D9549D	SDC2_FGFR4	simple:P34741	simple:P22455	SDC2	FGFR4	True	False	True	curated	False	Ligand-Receptor		0.028																							0.745																																																																				1.214																	0.529																	0.274																	0.459																																		1.298																																		0.351																	0.299																																																														
CPI-SC0B5CEA47D	COL10A1_integrin_a2b1_complex	simple:Q03692	complex:integrin_a2b1_complex	COL10A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.028																					2.366		2.279		2.348					2.325																																																																												0.488		0.401		0.47					0.447																																																																																																																																																																														
CPI-SS060B846D1	HBEGF_ERBB4	simple:Q99075	simple:Q15303	HBEGF	ERBB4	True	True	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.028																																																											0.459					0.508																																																																																0.58					0.63																																																																																0.444					0.494																													0.529					0.579																					
CPI-SS027DD8311	SELPLG_SELP	simple:Q14242	simple:P16109	SELPLG	SELP	False	True	False	curated	False	Ligand-Receptor	Signaling by Selectin	0.028																																						0.439																																		0.503																																																																				0.442																																																			0.451																																		0.57																	0.468																	0.47																	0.68													
CPI-SS068ACD209	EFNA5_EPHB2	simple:P52803	simple:P29323	EFNA5	EPHB2	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.028																																																																																														0.186					0.224												0.152					0.19												0.194					0.232																																																																																0.169					0.207																																																																							
CPI-SC0BB68FB34	COL9A3_integrin_a2b1_complex	simple:Q14050	complex:integrin_a2b1_complex	COL9A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.028																																																																																									0.366		0.279		0.348					0.325																																																																																																														0.261		0.173		0.242					0.219																																																																								
CPI-SS0D8632EB4	EDN1_EDNRA	simple:P05305	simple:P25101	EDN1	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.028																																																					0.578									0.945																									0.656									1.023																									0.339									0.706																																																																												0.437									0.804																																																																										
CPI-SC0B3564B15	COL8A1_integrin_a2b1_complex	simple:P27658	complex:integrin_a2b1_complex	COL8A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.028																					1.059		0.971		1.04					1.017																																																																												0.581		0.494		0.563					0.54																																																																																																																																																																														
CPI-SS07D9A48A2	LTA_TNFRSF1B	simple:P01374	simple:P20333	LTA	TNFRSF1B	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.031																																																																																																																																																																																																																																															0.206		0.237	0.322	0.365				0.446					0.366	0.651	0.382	0.308																																		
CPI-SS08D0F9109	EFNB2_EPHB4	simple:P52799	simple:P54760	EFNB2	EPHB4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.031																																																							0.883		0.831							0.77																									0.345		0.292							0.232																																																																																																														0.35		0.297							0.237																																																																								
CPI-CC065AB1F5E	atRetinoicAcid_byALDH1A1_RAreceptor_RARG	complex:atRetinoicAcid_byALDH1A1	complex:RAreceptor_RARG			True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.031																																																																																																												0.318	0.308						0.312																																												0.673	0.663						0.667																																																													0.378	0.367						0.371																																																							
CPI-SS0D5A3EC0A	LCN2_SLC22A17	simple:P80188	simple:Q8WUG5	LCN2	SLC22A17	True	False	True	curated	False	Ligand-Receptor		0.031																																																																																							0.276					0.263						0.267																							0.626					0.613						0.618																																																																										0.323					0.31						0.315																																																																								
CPI-SS0DA0F5556	CDH3_CDH3	simple:P22223	simple:P22223	CDH3	CDH3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.031																																																																																											0.449		0.312					0.336																											0.312		0.174					0.199																																																																														0.336		0.199					0.224																																																																								
CPI-SS0D2FABC4A	ADM_RAMP3	simple:P35318	simple:O60896	ADM	RAMP3	True	False	True	curated	False	Ligand-Receptor	Signaling by Adrenomedullin	0.031																					1.609																																		1.516																																		1.519																	1.708																	1.514																	1.904																																																																				1.538																	1.726																																		1.538																														
CPI-SS01E0F2D2C	NECTIN1_NECTIN4	simple:Q15223	simple:Q96NY8	NECTIN1	NECTIN4	True	True	True	curated	False	Adhesion-Adhesion	Adhesion by Nectin	0.031																																																																																											0.488		0.369					0.494																																																																																																																0.38		0.261					0.386																																																													0.373		0.254					0.379				
CPI-SS082ABF1EA	EFNB2_EPHB3	simple:P52799	simple:P54753	EFNB2	EPHB3	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.031																																																									0.908		0.69					0.745																											0.369		0.151					0.206																																																																																																																0.374		0.156					0.211																																																																								
CPI-SC09A33C92E	PLA2G2A_integrin_a4b1_complex	simple:P14555	complex:integrin_a4b1_complex	PLA2G2A		True	False	False	curated	True	Ligand-Receptor	Cell adhesion by Phospholipase	0.031																																																																																																							6.345		6.325		6.342					6.34		6.301		6.312	6.312	6.38	6.345																																																																																																																																																																										
CPI-SC03F1C301F	VEGFB_FLT1_complex	simple:P49765	complex:FLT1_complex	VEGFB		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.035				0.779																	0.856																																																																				0.845																	0.897																																		0.845																																		0.778																																		0.811																	0.871																																		0.784																	0.912													
CPI-SC09AE93F66	COL4A2_integrin_a11b1_complex	simple:P08572	complex:integrin_a11b1_complex	COL4A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.035																			0.87					0.623																													2.924					2.677																													0.563					0.316												0.636					0.389																																																															3.086					2.839																																																																																																																
CPI-SS0DB3F5A37	JAG2_NOTCH1	simple:Q9Y219	simple:P46531	JAG2	NOTCH1	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.035																																																				0.518			0.814	0.525	0.568					0.544																								0.158			0.453	0.165	0.208					0.183																																																																																																																																																																																																	
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	PVR	CD226	True	True	True	curated	False	Ligand-Receptor	Signaling by Poliovirus receptor	0.035																																																						0.153		0.156				0.157						0.165	0.135																					0.179		0.182				0.183						0.191	0.161																																																																																																																																																																																												
CPI-SC015ECCD97	COL1A2_integrin_a11b1_complex	simple:P08123	complex:integrin_a11b1_complex	COL1A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.035																			32.564					32.317																													0.551					0.304																																														20.604					20.357																																																															6.484					6.237																																														0.392					0.145																																																													
CPI-SC0C351F7DF	COL4A1_integrin_a11b1_complex	simple:P02462	complex:integrin_a11b1_complex	COL4A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.035																			0.845					0.598																													4.021					3.774																													0.515					0.268												0.609					0.362																																																															3.555					3.308																																																																																																																
CPI-SC041A30C3B	WNT2_FZD1_LRP6	simple:P09544	complex:FZD1_LRP6	WNT2		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.035																			0.291				0.332	0.326	0.3					0.298																																																																										0.216				0.257	0.25	0.225					0.223																																																																																																																																																																														
CPI-SC0E81D7329	IL6_IL6_receptor	simple:P05231	complex:IL6_receptor	IL6		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	0.035																																																																																																															0.271			0.212		0.282	0.223	0.272																											0.221			0.161		0.231	0.172	0.221																																																																																																																																									
CPI-SS0837E9F59	JAG1_NOTCH4	simple:P78504	simple:Q99466	JAG1	NOTCH4	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.035																					0.85													0.242																					1.426													0.818																																						0.847													0.239				0.828													0.22																																						1.633													1.025																																																																																																						
CPI-SC03A2FEB5C	WNT7B_FZD1_LRP6	simple:P56706	complex:FZD1_LRP6	WNT7B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.035																																																																																							0.126				0.167	0.161	0.135					0.133																																																																																																												0.124				0.165	0.158	0.133					0.131																																																																								
CPI-SC0BFCEDA56	WNT7B_FZD7_LRP6	simple:P56706	complex:FZD7_LRP6	WNT7B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.035																																																																																							0.126				0.135	0.161	0.137					0.148																																																																																																												0.124				0.132	0.158	0.134					0.146																																																																								
CPI-SS087054090	CCL8_CCR1	simple:P80075	simple:P32246	CCL8	CCR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.035																																																																																																																																									0.637				0.636				1.054					1.006		0.757																																																																						0.717				0.716				1.134					1.086		0.837																																																				
CPI-SC00C58C990	LCK_CD8_receptor	simple:P06239	complex:CD8_receptor	LCK		False	False	True	curated	False	Receptor-Receptor		0.035			0.496		0.641																																0.774		0.919																																0.851		0.996																																																																																																																					0.302		0.447																																																	0.916		1.061																																														
CPI-SS0FE9D6F11	WNT7B_SFRP1	simple:P56706	simple:Q8N474	WNT7B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.035																																																																																									0.177		0.429	0.702	1.236					0.574																																																																																																														0.175		0.427	0.699	1.234					0.572																																																																								
CPI-SS02FBD007E	NECTIN2_NECTIN3	simple:Q92692	simple:Q9NQS3	NECTIN2	NECTIN3	False	True	False	curated	False	Adhesion-Adhesion	Adhesion by Nectin	0.035																								0.277																																		0.567																																		0.689																	0.212																	0.291																	0.2																																		0.231																																		0.531																	0.283																																		0.25																											
CPI-CS0DC57DE37	Desmosterol_byDHCR7_NR1H3	complex:Desmosterol_byDHCR7	simple:Q13133		NR1H3	True	False	True	curated	False	Ligand-Receptor	Signaling by Cholesterol/Desmosterol	0.035																																																																																											0.733	0.741		0.99					1.15																													0.385					0.545																																																																													0.36	0.368		0.617					0.777																																																																							
CPI-SC0F9BC4D34	WNT2_FZD7_LRP6	simple:P09544	complex:FZD7_LRP6	WNT2		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.035																			0.291				0.3	0.326	0.302					0.313																																																																										0.216				0.224	0.25	0.226					0.238																																																																																																																																																																														
CPI-SC00FA2B152	WNT5A_FZD7_LRP6	simple:P41221	complex:FZD7_LRP6	WNT5A		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.035																			0.166				0.175	0.201	0.177					0.188																																																																																																																																																																																0.12				0.128	0.155	0.13					0.142																																																																								
CPI-SS0859C173B	TNFSF14_LTBR	simple:O43557	simple:P36941	TNFSF14	LTBR	True	False	True	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.035																																																																						0.247		0.302		0.42	0.272	0.189	0.221		0.242		0.276	0.277		0.204																																																																																																																																																																																																													
CPI-SS01E6C2BB8	WNT2_SFRP1	simple:P09544	simple:Q8N474	WNT2	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.035																					0.342		0.594	0.867	1.401					0.739																																																																												0.267		0.519	0.791	1.326					0.664																																																																																																																																																																														
CPI-SS0A2949959	ICAM3_CD209	simple:P32942	simple:Q9NNX6	ICAM3	CD209	True	False	True	curated	False	Ligand-Receptor	Adhesion by ICAM	0.038														0.517																																		0.36																	0.199																	0.359																	0.372																																																																				0.233																																		0.544																	0.285																																		0.442																	0.257																	0.222			
CPI-CS09B8977D7	Dehydroepiandrosterone_bySTS_ESR1	complex:Dehydroepiandrosterone_bySTS	simple:P03372		ESR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.038																																																																										0.656		0.449					0.698												0.44					0.689																																												0.668		0.461					0.71																																																																														0.668		0.461					0.711																																																							
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.038																					0.872																																																																				1.419																	1.001																	1.018																	1.096																	0.85																	0.821																	0.817																	1.329																	0.971																																		1.099																														
CPI-SS0276D5C7E	ENTPD1_ADORA3	simple:P49961	simple:P0DMS8	ENTPD1	ADORA3	False	False	True	curated	False	Ligand-Receptor	Signaling by Ectonucleoside	0.038														0.4																	0.241																																		0.706																	0.362																																		0.262																																		0.199																																		0.334																	0.245																																		0.319																	0.389																	0.356																				
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.038																					0.872																																																																				1.419																	1.001																	1.018																	1.096																	0.85																	0.821																	0.817																	1.329																	0.971																																		1.099																														
CPI-CC0A31C8D8B	atRetinoicAcid_byALDH1A1_RAreceptor_RXRA	complex:atRetinoicAcid_byALDH1A1	complex:RAreceptor_RXRA			True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.042																																																																																																												0.415	0.362	0.321					0.396																																												0.77	0.717	0.676					0.751																																																													0.475	0.421	0.38					0.456																																																							
CPI-SC084C79E20	COL6A3_integrin_a2b1_complex	simple:P12111	complex:integrin_a2b1_complex	COL6A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.042																					4.426		4.339		4.408					4.385																																																																												4.459		4.371		4.441					4.418																																																											1.198		1.111		1.18					1.157																																																																																																										
CPI-SS0703C3CE4	DKK1_LRP6	simple:O94907	simple:O75581	DKK1	LRP6	True	False	True	curated	False	Ligand-Receptor	Signaling by WNT	0.042																																																																																							0.582		0.72		0.651	0.617	0.593					0.608																																																																																																												0.295		0.433		0.363	0.33	0.306					0.321																																																																								
CPI-SC0D5418330	COL5A3_integrin_a2b1_complex	simple:P25940	complex:integrin_a2b1_complex	COL5A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.042																					0.352		0.265		0.334					0.311																																																																												0.232		0.144		0.213					0.19																																																											0.534		0.447		0.516					0.493																																																																																																										
CPI-SC04FA882F7	COL10A1_integrin_a1b1_complex	simple:Q03692	complex:integrin_a1b1_complex	COL10A1		True	False	False	curated	True	Ligand-Receptor	Adhesion by Collagen/Integrin	0.042																			2.46	2.32	2.65	2.486		2.302				3.344																																																																												0.581	0.442	0.772	0.608		0.424				1.466																																																																																																																																																																																
CPI-SC06AD39F88	COL16A1_integrin_a1b1_complex	simple:Q07092	complex:integrin_a1b1_complex	COL16A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.042																			0.516	0.376	0.706	0.542		0.358				1.4																																																																												0.531	0.392	0.722	0.558		0.374				1.416																																																																																																																																																																																
